kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_96x112x112,96,112,112,1.20470975,1.142857,1.344286,0.053817404710523875,20
matmul_96x112x128,96,112,128,1.1688347,1.144197,1.225625,0.018162776981913775,20
matmul_96x112x32,96,112,32,1.2542946,1.205714,1.44,0.06648446225080673,20
matmul_96x112x48,96,112,48,1.2710044,1.208572,1.43,0.07115086025991756,20
matmul_96x112x64,96,112,64,1.27312505,1.231428,1.445804,0.07182825062201097,20
matmul_96x112x80,96,112,80,1.27249545,1.237232,1.394286,0.03586121586936152,20
matmul_96x112x96,96,112,96,1.2649241500000001,1.222946,1.42009,0.07415741250118595,20
matmul_96x128x112,96,128,112,1.20599545,1.148482,1.442858,0.08059796105588397,20
matmul_96x128x128,96,128,128,1.223933,1.150089,1.387232,0.0701387880427461,20
matmul_96x128x32,96,128,32,1.24917395,1.207143,1.397143,0.04957669580344018,20
matmul_96x128x48,96,128,48,1.2494463,1.210089,1.44,0.06085871785156865,20
matmul_96x128x64,96,128,64,1.2593125,1.211518,1.494286,0.06683873056095542,20
matmul_96x128x80,96,128,80,1.28235715,1.24,1.445803,0.05535769405114815,20
matmul_96x128x96,96,128,96,1.22745085,1.157142,1.412947,0.045952751117774276,20
matmul_96x32x112,96,32,112,1.07307605,1.04,1.2,0.0366285880347362,20
matmul_96x32x128,96,32,128,1.0938303,1.045803,1.26,0.05863350893303249,20
matmul_96x32x32,96,32,32,1.16935725,1.114285,1.348482,0.06903331920920126,20
matmul_96x32x48,96,32,48,1.0534196999999998,0.995715,1.237143,0.0754467545366651,20
matmul_96x32x64,96,32,64,1.05643745,1.008572,1.241429,0.05508840837042618,20
matmul_96x32x80,96,32,80,1.06847785,1.027054,1.261339,0.05430053418877979,20
matmul_96x32x96,96,32,96,1.0845134,1.045625,1.24,0.052115964682417096,20
matmul_96x48x112,96,48,112,1.14171425,1.085804,1.29,0.08207908260739183,20
matmul_96x48x128,96,48,128,1.117799,1.067232,1.295715,0.06329560945195753,20
matmul_96x48x32,96,48,32,1.1774065,1.139911,1.341429,0.04278820801219348,20
matmul_96x48x48,96,48,48,1.18312935,1.164286,1.341429,0.05062146101914837,20
matmul_96x48x64,96,48,64,1.09920995,1.042857,1.28,0.07069110518786349,20
matmul_96x48x80,96,48,80,1.12004025,1.058571,1.305715,0.07339069291837674,20
matmul_96x48x96,96,48,96,1.11941945,1.068482,1.294285,0.06941190684334313,20
matmul_96x64x112,96,64,112,1.1498706,1.092857,1.340089,0.07487021000329062,20
matmul_96x64x128,96,64,128,1.1332188,1.087143,1.261429,0.05144939882989786,20
matmul_96x64x32,96,64,32,1.2129999,1.151428,1.395625,0.07084613243605727,20
matmul_96x64x48,96,64,48,1.2383749,1.182946,1.394375,0.08081240398530543,20
matmul_96x64x64,96,64,64,1.21398665,1.170089,1.414197,0.05674056860397708,20
matmul_96x64x80,96,64,80,1.12919635,1.078661,1.301428,0.06720527641900793,20
matmul_96x64x96,96,64,96,1.1154509,1.085803,1.22,0.025282513628156006,20
matmul_96x80x112,96,80,112,1.1425582,1.109911,1.245715,0.02942043282553987,20
matmul_96x80x128,96,80,128,1.1460579,1.127142,1.270089,0.0400879551774004,20
matmul_96x80x32,96,80,32,1.20873205,1.182857,1.301518,0.025984998549719935,20
matmul_96x80x48,96,80,48,1.2292278,1.191429,1.425803,0.05173342985424617,20
matmul_96x80x64,96,80,64,1.22787055,1.194196,1.42,0.04705242228282808,20
matmul_96x80x80,96,80,80,1.2765046,1.211428,1.465715,0.08094913590995537,20
matmul_96x80x96,96,80,96,1.17420975,1.131429,1.354375,0.07593230716817172,20
matmul_96x96x112,96,96,112,1.27655795,1.155714,1.43,0.08738017308681402,20
matmul_96x96x128,96,96,128,1.2731205,1.165625,1.478661,0.09738313257897763,20
matmul_96x96x32,96,96,32,1.2417902,1.204375,1.365625,0.04596797202355021,20
matmul_96x96x48,96,96,48,1.25371875,1.21,1.415714,0.05795678083835173,20
matmul_96x96x64,96,96,64,1.2435089,1.211339,1.38,0.03853672122438954,20
matmul_96x96x80,96,96,80,1.2690848,1.238661,1.338571,0.02306801949521413,20
matmul_96x96x96,96,96,96,1.2458704,1.164375,1.44,0.06414308440419908,20
